;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/30/2020 7:43:18 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_MathDouble.c,761 :: 		
;__Lib_MathDouble.c,773 :: 		
;__Lib_MathDouble.c,776 :: 		
0x02B8	0x1283      	BCF        STATUS, 5
0x02B9	0x1303      	BCF        STATUS, 6
0x02BA	0x0874      	MOVF       R4, 0
0x02BB	0x3A00      	XORLW      0
0x02BC	0x1D03      	BTFSS      STATUS, 2
0x02BD	0x2AD3      	GOTO       L_Div_32x32_FP7
;__Lib_MathDouble.c,777 :: 		
0x02BE	0x0875      	MOVF       R5, 0
0x02BF	0x3A00      	XORLW      0
0x02C0	0x1D03      	BTFSS      STATUS, 2
0x02C1	0x2AD3      	GOTO       L_Div_32x32_FP8
;__Lib_MathDouble.c,778 :: 		
0x02C2	0x0876      	MOVF       R6, 0
0x02C3	0x3A00      	XORLW      0
0x02C4	0x1D03      	BTFSS      STATUS, 2
0x02C5	0x2AD3      	GOTO       L_Div_32x32_FP9
;__Lib_MathDouble.c,779 :: 		
0x02C6	0x0877      	MOVF       R7, 0
0x02C7	0x3A00      	XORLW      0
0x02C8	0x1D03      	BTFSS      STATUS, 2
0x02C9	0x2AD3      	GOTO       L_Div_32x32_FP10
;__Lib_MathDouble.c,780 :: 		
0x02CA	0x30FF      	MOVLW      255
0x02CB	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,781 :: 		
0x02CC	0x30FF      	MOVLW      255
0x02CD	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,782 :: 		
0x02CE	0x307F      	MOVLW      127
0x02CF	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,783 :: 		
0x02D0	0x30FF      	MOVLW      255
0x02D1	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,784 :: 		
0x02D2	0x2B6E      	GOTO       L_end_Div_32x32_FP
;__Lib_MathDouble.c,785 :: 		
L_Div_32x32_FP10:
L_Div_32x32_FP9:
L_Div_32x32_FP8:
L_Div_32x32_FP7:
;__Lib_MathDouble.c,788 :: 		
0x02D3	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,789 :: 		
0x02D4	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,791 :: 		
0x02D5	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,792 :: 		
0x02D6	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,793 :: 		
0x02D7	0x2B62      	GOTO       JPDSETFDZ32
;__Lib_MathDouble.c,795 :: 		
0x02D8	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,796 :: 		
0x02D9	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,797 :: 		
0x02DA	0x2B65      	GOTO       JPDRES032
;__Lib_MathDouble.c,799 :: 		
0x02DB	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,800 :: 		
0x02DC	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,801 :: 		
0x02DD	0x3980      	ANDLW      128
;__Lib_MathDouble.c,802 :: 		
0x02DE	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,803 :: 		
0x02DF	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,804 :: 		
0x02E0	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,806 :: 		
0x02E1	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,807 :: 		
0x02E2	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,808 :: 		
0x02E3	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,809 :: 		
0x02E4	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,810 :: 		
0x02E5	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,811 :: 		
0x02E6	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,812 :: 		
0x02E7	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,814 :: 		
0x02E8	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,815 :: 		
0x02E9	0x02FD      	SUBWF      R13, 1
;__Lib_MathDouble.c,816 :: 		
0x02EA	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,817 :: 		
0x02EB	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,818 :: 		
0x02EC	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,820 :: 		
0x02ED	0x02FC      	SUBWF      R12, 1
;__Lib_MathDouble.c,821 :: 		
0x02EE	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,822 :: 		
0x02EF	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,823 :: 		
0x02F0	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,825 :: 		
0x02F1	0x02F8      	SUBWF      R8, 1
;__Lib_MathDouble.c,826 :: 		
0x02F2	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,827 :: 		
0x02F3	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,828 :: 		
0x02F4	0x01FD      	CLRF       R13
;__Lib_MathDouble.c,829 :: 		
0x02F5	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,830 :: 		
0x02F6	0x2AFE      	GOTO       DALIGN32OK
;__Lib_MathDouble.c,832 :: 		
0x02F7	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,833 :: 		
0x02F8	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,834 :: 		
0x02F9	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,835 :: 		
0x02FA	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,836 :: 		
0x02FB	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,837 :: 		
0x02FC	0x3001      	MOVLW      1
;__Lib_MathDouble.c,838 :: 		
0x02FD	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,839 :: 		
DALIGN32OK:
;__Lib_MathDouble.c,840 :: 		
0x02FE	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,841 :: 		
0x02FF	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,842 :: 		
0x0300	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,843 :: 		
0x0301	0x2B08      	GOTO       ALTB32
;__Lib_MathDouble.c,845 :: 		
0x0302	0x307E      	MOVLW      126
;__Lib_MathDouble.c,846 :: 		
0x0303	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,847 :: 		
0x0304	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,848 :: 		
0x0305	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,849 :: 		
0x0306	0x2B68      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,850 :: 		
0x0307	0x2B0D      	GOTO       DARGOK32
;__Lib_MathDouble.c,851 :: 		
ALTB32:
;__Lib_MathDouble.c,852 :: 		
0x0308	0x307E      	MOVLW      126
;__Lib_MathDouble.c,853 :: 		
0x0309	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,854 :: 		
0x030A	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,855 :: 		
0x030B	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,856 :: 		
0x030C	0x2B6B      	GOTO       JPDSETFUN32
;__Lib_MathDouble.c,857 :: 		
DARGOK32:
;__Lib_MathDouble.c,858 :: 		
0x030D	0x3018      	MOVLW      24
;__Lib_MathDouble.c,860 :: 		
0x030E	0x07FA      	ADDWF      R10, 1
;__Lib_MathDouble.c,861 :: 		
DLOOP32:
;__Lib_MathDouble.c,862 :: 		
0x030F	0x0DFD      	RLF        R13, 1
;__Lib_MathDouble.c,863 :: 		
0x0310	0x0DFC      	RLF        R12, 1
;__Lib_MathDouble.c,864 :: 		
0x0311	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,865 :: 		
0x0312	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,866 :: 		
0x0313	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,867 :: 		
0x0314	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,868 :: 		
0x0315	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,870 :: 		
0x0316	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,871 :: 		
0x0317	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,872 :: 		
0x0318	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,873 :: 		
0x0319	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,874 :: 		
0x031A	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,876 :: 		
0x031B	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,877 :: 		
0x031C	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,878 :: 		
0x031D	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,879 :: 		
0x031E	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,881 :: 		
0x031F	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,882 :: 		
0x0320	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,883 :: 		
0x0321	0x04A0      	IORWF      __math_tempbD, 1
;__Lib_MathDouble.c,884 :: 		
0x0322	0x1C20      	BTFSS      __math_tempbD, 0
;__Lib_MathDouble.c,885 :: 		
0x0323	0x2B26      	GOTO       DREST32
;__Lib_MathDouble.c,886 :: 		
0x0324	0x147D      	BSF        R13, 0
;__Lib_MathDouble.c,887 :: 		
0x0325	0x2B31      	GOTO       DOK32
;__Lib_MathDouble.c,888 :: 		
DREST32:
;__Lib_MathDouble.c,889 :: 		
0x0326	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,890 :: 		
0x0327	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,891 :: 		
0x0328	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,892 :: 		
0x0329	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,893 :: 		
0x032A	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,895 :: 		
0x032B	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,896 :: 		
0x032C	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,897 :: 		
0x032D	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,898 :: 		
0x032E	0x0A76      	INCF       R6, 0
;__Lib_MathDouble.c,899 :: 		
0x032F	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,900 :: 		
0x0330	0x107D      	BCF        R13, 0
;__Lib_MathDouble.c,901 :: 		
DOK32:
;__Lib_MathDouble.c,903 :: 		
0x0331	0x03FA      	DECF       R10, 1
;__Lib_MathDouble.c,904 :: 		
0x0332	0x301F      	MOVLW      31
;__Lib_MathDouble.c,905 :: 		
0x0333	0x057A      	ANDWF      R10, 0
;__Lib_MathDouble.c,906 :: 		
0x0334	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,907 :: 		
0x0335	0x2B0F      	GOTO       DLOOP32
;__Lib_MathDouble.c,909 :: 		
0x0336	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,910 :: 		
0x0337	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,911 :: 		
0x0338	0x2B58      	GOTO       DIV32OK
;__Lib_MathDouble.c,912 :: 		
0x0339	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,913 :: 		
0x033A	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,914 :: 		
0x033B	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,915 :: 		
0x033C	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,916 :: 		
0x033D	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,918 :: 		
0x033E	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,919 :: 		
0x033F	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,920 :: 		
0x0340	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,921 :: 		
0x0341	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,922 :: 		
0x0342	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,923 :: 		
0x0343	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,924 :: 		
0x0344	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,925 :: 		
0x0345	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,926 :: 		
0x0346	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,927 :: 		
0x0347	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,928 :: 		
0x0348	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,929 :: 		
0x0349	0x0420      	IORWF      __math_tempbD, 0
;__Lib_MathDouble.c,930 :: 		
0x034A	0x3901      	ANDLW      1
;__Lib_MathDouble.c,931 :: 		
0x034B	0x07FD      	ADDWF      R13, 1
;__Lib_MathDouble.c,932 :: 		
0x034C	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,933 :: 		
0x034D	0x0AFC      	INCF       R12, 1
;__Lib_MathDouble.c,934 :: 		
0x034E	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,935 :: 		
0x034F	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,936 :: 		
0x0350	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,937 :: 		
0x0351	0x2B58      	GOTO       DIV32OK
;__Lib_MathDouble.c,938 :: 		
0x0352	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,939 :: 		
0x0353	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,940 :: 		
0x0354	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,941 :: 		
0x0355	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,942 :: 		
0x0356	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,943 :: 		
0x0357	0x2B68      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,944 :: 		
DIV32OK:
;__Lib_MathDouble.c,945 :: 		
0x0358	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,946 :: 		
0x0359	0x13F8      	BCF        R8, 7
;__Lib_MathDouble.c,947 :: 		
0x035A	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,948 :: 		
0x035B	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,949 :: 		
0x035C	0x087C      	MOVF       R12, 0
;__Lib_MathDouble.c,950 :: 		
0x035D	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,951 :: 		
0x035E	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,952 :: 		
0x035F	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,954 :: 		
0x0360	0x3000      	MOVLW      0
;__Lib_MathDouble.c,956 :: 		
0x0361	0x2B6D      	GOTO       DIV32EEE
;__Lib_MathDouble.c,957 :: 		
JPDSETFDZ32:
;__Lib_MathDouble.c,958 :: 		
0x0362	0x3001      	MOVLW      1
;__Lib_MathDouble.c,961 :: 		
0x0363	0x2186      	CALL       _SETFDZ32
;__Lib_MathDouble.c,963 :: 		
0x0364	0x2B6D      	GOTO       DIV32EEE
;__Lib_MathDouble.c,964 :: 		
JPDRES032:
;__Lib_MathDouble.c,965 :: 		
0x0365	0x3002      	MOVLW      2
;__Lib_MathDouble.c,968 :: 		
0x0366	0x20E0      	CALL       _RES032
;__Lib_MathDouble.c,970 :: 		
0x0367	0x2B6D      	GOTO       DIV32EEE
;__Lib_MathDouble.c,971 :: 		
JPDSETFOV32:
;__Lib_MathDouble.c,972 :: 		
0x0368	0x3004      	MOVLW      4
;__Lib_MathDouble.c,975 :: 		
0x0369	0x2172      	CALL       _SETFOV32
;__Lib_MathDouble.c,977 :: 		
0x036A	0x2B6D      	GOTO       DIV32EEE
;__Lib_MathDouble.c,978 :: 		
JPDSETFUN32:
;__Lib_MathDouble.c,979 :: 		
0x036B	0x3008      	MOVLW      8
;__Lib_MathDouble.c,982 :: 		
0x036C	0x20E7      	CALL       _SETFUN32
;__Lib_MathDouble.c,984 :: 		
DIV32EEE:
;__Lib_MathDouble.c,985 :: 		
0x036D	0x0000      	NOP
;__Lib_MathDouble.c,994 :: 		
L_end_Div_32x32_FP:
0x036E	0x0008      	RETURN
; end of _Div_32x32_FP
_double2int:
;__Lib_MathDouble.c,1391 :: 		
;__Lib_MathDouble.c,1399 :: 		
0x036F	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1400 :: 		
0x0370	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1402 :: 		
0x0371	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1403 :: 		
0x0372	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1404 :: 		
0x0373	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1405 :: 		
0x0374	0x2BAC      	GOTO       IRES016
;__Lib_MathDouble.c,1407 :: 		
0x0375	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1408 :: 		
0x0376	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,1409 :: 		
0x0377	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,1411 :: 		
0x0378	0x308E      	MOVLW      142
;__Lib_MathDouble.c,1412 :: 		
0x0379	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,1413 :: 		
0x037A	0x1FF3      	BTFSS      R3, 7
;__Lib_MathDouble.c,1414 :: 		
0x037B	0x2BAF      	GOTO       SETIOV16
;__Lib_MathDouble.c,1415 :: 		
0x037C	0x09F3      	COMF       R3, 1
;__Lib_MathDouble.c,1416 :: 		
0x037D	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,1418 :: 		
0x037E	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1419 :: 		
0x037F	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1420 :: 		
0x0380	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1421 :: 		
0x0381	0x2B92      	GOTO       TSHIFT3216
;__Lib_MathDouble.c,1422 :: 		
0x0382	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1423 :: 		
0x0383	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,1424 :: 		
0x0384	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1425 :: 		
0x0385	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1426 :: 		
0x0386	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1428 :: 		
0x0387	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1429 :: 		
0x0388	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1430 :: 		
0x0389	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1431 :: 		
0x038A	0x2B92      	GOTO       TSHIFT3216
;__Lib_MathDouble.c,1432 :: 		
0x038B	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1433 :: 		
0x038C	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,1434 :: 		
0x038D	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1436 :: 		
0x038E	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1437 :: 		
0x038F	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,1438 :: 		
0x0390	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1439 :: 		
0x0391	0x2B9A      	GOTO       SHIFT3216OK
;__Lib_MathDouble.c,1440 :: 		
TSHIFT3216:
;__Lib_MathDouble.c,1441 :: 		
0x0392	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1442 :: 		
0x0393	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1443 :: 		
0x0394	0x2B9A      	GOTO       SHIFT3216OK
;__Lib_MathDouble.c,1444 :: 		
SHIFT3216:
;__Lib_MathDouble.c,1445 :: 		
0x0395	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1446 :: 		
0x0396	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1447 :: 		
0x0397	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,1448 :: 		
0x0398	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,1449 :: 		
0x0399	0x2B95      	GOTO       SHIFT3216
;__Lib_MathDouble.c,1450 :: 		
SHIFT3216OK:
;__Lib_MathDouble.c,1451 :: 		
0x039A	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,1452 :: 		
0x039B	0x1C71      	BTFSS      R1, 0
;__Lib_MathDouble.c,1453 :: 		
0x039C	0x2BA4      	GOTO       INT3216OK
;__Lib_MathDouble.c,1454 :: 		
0x039D	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1455 :: 		
0x039E	0x2BA4      	GOTO       INT3216OK
;__Lib_MathDouble.c,1456 :: 		
0x039F	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,1457 :: 		
0x03A0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1458 :: 		
0x03A1	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,1459 :: 		
0x03A2	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,1460 :: 		
0x03A3	0x2BBB      	GOTO       JPJSETIOV3224
;__Lib_MathDouble.c,1461 :: 		
INT3216OK:
;__Lib_MathDouble.c,1462 :: 		
0x03A4	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1463 :: 		
0x03A5	0x2BBE      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1465 :: 		
0x03A6	0x09F2      	COMF       R2, 1
;__Lib_MathDouble.c,1466 :: 		
0x03A7	0x09F1      	COMF       R1, 1
;__Lib_MathDouble.c,1467 :: 		
0x03A8	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,1468 :: 		
0x03A9	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1469 :: 		
0x03AA	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,1470 :: 		
0x03AB	0x2BBE      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1472 :: 		
IRES016:
;__Lib_MathDouble.c,1473 :: 		
0x03AC	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1474 :: 		
0x03AD	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1475 :: 		
0x03AE	0x2BBE      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1476 :: 		
SETIOV16:
;__Lib_MathDouble.c,1477 :: 		
0x03AF	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1478 :: 		
0x03B0	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1479 :: 		
0x03B1	0x2BC1      	GOTO       INT3216EER
;__Lib_MathDouble.c,1481 :: 		
0x03B2	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1482 :: 		
0x03B3	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1483 :: 		
0x03B4	0x2BC1      	GOTO       INT3216EER
;__Lib_MathDouble.c,1484 :: 		
0x03B5	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1485 :: 		
0x03B6	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1486 :: 		
0x03B7	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1487 :: 		
0x03B8	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,1488 :: 		
0x03B9	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1489 :: 		
0x03BA	0x2BC1      	GOTO       INT3216EER
;__Lib_MathDouble.c,1491 :: 		
JPJSETIOV3224:
;__Lib_MathDouble.c,1492 :: 		
0x03BB	0x3001      	MOVLW      1
;__Lib_MathDouble.c,1493 :: 		
0x03BC	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1494 :: 		
0x03BD	0x2BC3      	GOTO       INT3216EEE
;__Lib_MathDouble.c,1495 :: 		
INT3216EOK:
;__Lib_MathDouble.c,1496 :: 		
0x03BE	0x3000      	MOVLW      0
;__Lib_MathDouble.c,1497 :: 		
0x03BF	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1498 :: 		
0x03C0	0x2BC3      	GOTO       INT3216EEE
;__Lib_MathDouble.c,1499 :: 		
INT3216EER:
;__Lib_MathDouble.c,1500 :: 		
0x03C1	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1501 :: 		
0x03C2	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1502 :: 		
INT3216EEE:
;__Lib_MathDouble.c,1505 :: 		
0x03C3	0x08FC      	MOVF       R12, 1
;__Lib_MathDouble.c,1507 :: 		
0x03C4	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1508 :: 		
0x03C5	0x2BC7      	GOTO       L_Double2Int_0
;__Lib_MathDouble.c,1510 :: 		
0x03C6	0x2189      	CALL       _SETIOV3224
;__Lib_MathDouble.c,1512 :: 		
L_Double2Int_0:
;__Lib_MathDouble.c,1513 :: 		
0x03C7	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1514 :: 		
0x03C8	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1515 :: 		
0x03C9	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1516 :: 		
0x03CA	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1520 :: 		
L_end_double2int:
0x03CB	0x0008      	RETURN
; end of _double2int
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x03CC	0x2BDE      	GOTO       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x03CD	0x3080      	MOVLW      128
0x03CE	0x1283      	BCF        STATUS, 5
0x03CF	0x1303      	BCF        STATUS, 6
0x03D0	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x03D1	0x2BF1      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x03D2	0x30C0      	MOVLW      192
0x03D3	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x03D4	0x2BF1      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x03D5	0x3094      	MOVLW      148
0x03D6	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x03D7	0x2BF1      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x03D8	0x30D4      	MOVLW      212
0x03D9	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x03DA	0x2BF1      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x03DB	0x3080      	MOVLW      128
0x03DC	0x00E7      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,72 :: 		
0x03DD	0x2BF1      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x03DE	0x1283      	BCF        STATUS, 5
0x03DF	0x1303      	BCF        STATUS, 6
0x03E0	0x0867      	MOVF       FARG_Lcd_Chr_row, 0
0x03E1	0x3A01      	XORLW      1
0x03E2	0x1903      	BTFSC      STATUS, 2
0x03E3	0x2BCD      	GOTO       L_Lcd_Chr6
0x03E4	0x0867      	MOVF       FARG_Lcd_Chr_row, 0
0x03E5	0x3A02      	XORLW      2
0x03E6	0x1903      	BTFSC      STATUS, 2
